Date, NAVPS 
27-Nov-15, 1.1762 
1-Dec-15, 1.1900 
2-Dec-15, 1.1887 
3-Dec-15, 1.1815 
4-Dec-15, 1.1730 
7-Dec-15, 1.1713 
8-Dec-15, 1.1606 
9-Dec-15, 1.1629 
10-Dec-15, 1.1578 
11-Dec-15, 1.1477 
14-Dec-15, 1.1500 
15-Dec-15, 1.1447 
16-Dec-15, 1.1599 
17-Dec-15, 1.1714 
18-Dec-15, 1.1636 
21-Dec-15, 1.1682 
22-Dec-15, 1.1742 
23-Dec-15, 1.1783 
28-Dec-15, 1.1766 
29-Dec-15, 1.1725 
4-Jan-16, 1.1575 
5-Jan-16, 1.1566 
6-Jan-16, 1.1536 
7-Jan-16, 1.1285 
8-Jan-16, 1.1209 
11-Jan-16, 1.0802 
12-Jan-16, 1.0856 
13-Jan-16, 1.1053 
14-Jan-16, 1.0957 
15-Jan-16, 1.0989 
18-Jan-16, 1.0853 
19-Jan-16, 1.0888 
20-Jan-16, 1.0760 
21-Jan-16, 1.0597 
22-Jan-16, 1.0736 
25-Jan-16, 1.0979 
26-Jan-16, 1.0836 
27-Jan-16, 1.1048 
28-Jan-16, 1.1099 
29-Jan-16, 1.1224 
1-Feb-16, 1.1257 
2-Feb-16, 1.1202 
3-Feb-16, 1.1046 
4-Feb-16, 1.1189 
5-Feb-16, 1.1333 
9-Feb-16, 1.1187 
10-Feb-16, 1.1203 
11-Feb-16, 1.1259 
12-Feb-16, 1.1220 
15-Feb-16, 1.1293 
16-Feb-16, 1.1383 
17-Feb-16, 1.1394 
18-Feb-16, 1.1505 
19-Feb-16, 1.1445 
22-Feb-16, 1.1413 
23-Feb-16, 1.1457 
24-Feb-16, 1.1366 
26-Feb-16, 1.1380 
29-Feb-16, 1.1247 
1-Mar-16, 1.1284 
2-Mar-16, 1.1456 
3-Mar-16, 1.1549 
4-Mar-16, 1.1468 
7-Mar-16, 1.1468 
8-Mar-16, 1.1490 
9-Mar-16, 1.1575 
10-Mar-16, 1.1715 
11-Mar-16, 1.1781 
14-Mar-16, 1.1817 
15-Mar-16, 1.1872 
16-Mar-16, 1.1767 
17-Mar-16, 1.1985 
18-Mar-16, 1.2068 
21-Mar-16, 1.2171 
22-Mar-16, 1.2135 
23-Mar-16, 1.2162 
28-Mar-16, 1.2131 
29-Mar-16, 1.2085 
30-Mar-16, 1.2136 
31-Mar-16, 1.2084 
1-Apr-16, 1.2050 
4-Apr-16, 1.2046 
5-Apr-16, 1.1991 
6-Apr-16, 1.1948 
7-Apr-16, 1.1948 
8-Apr-16, 1.2053 
11-Apr-16, 1.2133 
12-Apr-16, 1.2183 
13-Apr-16, 1.2223 
14-Apr-16, 1.2269 
15-Apr-16, 1.2196 
18-Apr-16, 1.2063 
19-Apr-16, 1.2045 
20-Apr-16, 1.2039 
21-Apr-16, 1.2104 
22-Apr-16, 1.2101 
25-Apr-16, 1.2071 
26-Apr-16, 1.2040 
27-Apr-16, 1.1993 
28-Apr-16, 1.1991 
29-Apr-16, 1.1976 
2-May-16, 1.1813 
3-May-16, 1.1826 
4-May-16, 1.1881 
5-May-16, 1.1764 
6-May-16, 1.1771 
10-May-16, 1.2022 
11-May-16, 1.2360 
12-May-16, 1.2243 
13-May-16, 1.2407 
16-May-16, 1.2532 
17-May-16, 1.2542 
18-May-16, 1.2560 
19-May-16, 1.2384 
