Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
6-Nov-95, 1.2649 ,,,,,,,,
7-Nov-95, 1.2705 ,,,,,,,,
8-Nov-95, 1.2748 ,,,,,,,,
9-Nov-95, 1.2746 ,,,,,,,,
10-Nov-95, 1.2589 ,,,,,,,,
13-Nov-95, 1.2417 ,,,,,,,,
14-Nov-95, 1.2331 ,,,,,,,,
15-Nov-95, 1.2394 ,,,,,,,,
16-Nov-95, 1.2270 ,,,,,,,,
17-Nov-95, 1.2225 ,,,,,,,,
20-Nov-95, 1.2018 ,,,,,,,,
21-Nov-95, 1.2127 ,,,,,,,,
22-Nov-95, 1.2117 ,,,,,,,,
23-Nov-95, 1.2195 ,,,,,,,,
24-Nov-95, 1.2191 ,,,,,,,,
27-Nov-95, 1.2333 ,,,,,,,,
28-Nov-95, 1.2354 ,,,,,,,,
29-Nov-95, 1.2516 ,,,,,,,,
1-Dec-95, 1.2604 ,,,,,,,,
4-Dec-95, 1.2962 ,,,,,,,,
5-Dec-95, 1.2856 ,,,,,,,,
6-Dec-95, 1.3115 ,,,,,,,,
7-Dec-95, 1.2948 ,,,,,,,,
8-Dec-95, 1.2824 ,,,,,,,,
11-Dec-95, 1.2931 ,,,,,,,,
12-Dec-95, 1.2852 ,,,,,,,,
13-Dec-95, 1.2853 ,,,,,,,,
14-Dec-95, 1.2877 ,,,,,,,,
15-Dec-95, 1.2892 ,,,,,,,,
18-Dec-95, 1.3018 ,,,,,,,,
19-Dec-95, 1.2937 ,,,,,,,,
20-Dec-95, 1.3179 ,,,,,,,,
21-Dec-95, 1.3230 ,,,,,,,,
22-Dec-95, 1.3262 ,,,,,,,,
26-Dec-95, 1.3286 ,,,,,,,,
27-Dec-95, 1.3257 ,,,,,,,,
28-Dec-95, 1.3361 ,,,,,,,,
29-Dec-95, 1.3402 ,,,,,,,,
2-Jan-96, 1.3529 ,,,,,,,,
3-Jan-96, 1.3429 ,,,,,,,,
4-Jan-96, 1.3943 ,,,,,,,,
5-Jan-96, 1.3999 ,,,,,,,,
8-Jan-96, 1.4111 ,,,,,,,,
9-Jan-96, 1.3933 ,,,,,,,,
10-Jan-96, 1.3798 ,,,,,,,,
11-Jan-96, 1.3886 ,,,,,,,,
12-Jan-96, 1.4353 ,,,,,,,,
15-Jan-96, 1.4528 ,,,,,,,,
16-Jan-96, 1.4521 ,,,,,,,,
17-Jan-96, 1.4299 ,,,,,,,,
18-Jan-96, 1.4214 ,,,,,,,,
19-Jan-96, 1.4537 ,,,,,,,,
22-Jan-96, 1.4722 ,,,,,,,,
23-Jan-96, 1.4888 ,,,,,,,,
24-Jan-96, 1.4798 ,,,,,,,,
25-Jan-96, 1.4932 ,,,,,,,,
26-Jan-96, 1.4864 ,,,,,,,,
29-Jan-96, 1.4823 ,,,,,,,,
30-Jan-96, 1.4801 ,,,,,,,,
31-Jan-96, 1.4928 ,,,,,,,,
1-Feb-96, 1.5116 ,,,,,,,,
2-Feb-96, 1.5074 ,,,,,,,,
5-Feb-96, 1.5011 ,,,,,,,,
6-Feb-96, 1.5096 ,,,,,,,,
7-Feb-96, 1.5123 ,,,,,,,,
8-Feb-96, 1.5061 ,,,,,,,,
9-Feb-96, 1.5055 ,,,,,,,,
12-Feb-96, 1.5255 ,,,,,,,,
13-Feb-96, 1.5590 ,,,,,,,,
14-Feb-96, 1.5627 ,,,,,,,,
15-Feb-96, 1.5729 ,,,,,,,,
16-Feb-96, 1.5851 ,,,,,,,,
19-Feb-96, 1.5871 ,,,,,,,,
20-Feb-96, 1.5785 ,,,,,,,,
21-Feb-96, 1.5857 ,,,,,,,,
22-Feb-96, 1.5969 ,,,,,,,,
23-Feb-96, 1.6125 ,,,,,,,,
26-Feb-96, 1.6180 ,,,,,,,,
27-Feb-96, 1.6029 ,,,,,,,,
28-Feb-96, 1.6061 ,,,,,,,,
29-Feb-96, 1.6000 ,,,,,,,,
1-Mar-96, 1.6321 ,,,,,,,,
4-Mar-96, 1.6266 ,,,,,,,,
5-Mar-96, 1.6319 ,,,,,,,,
6-Mar-96, 1.6402 ,,,,,,,,
7-Mar-96, 1.6327 ,,,,,,,,
8-Mar-96, 1.5986 ,,,,,,,,
11-Mar-96, 1.5559 ,,,,,,,,
12-Mar-96, 1.5381 ,,,,,,,,
13-Mar-96, 1.5184 ,,,,,,,,
